band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23,AT,,disease severity,spad,WC,number
0.078822,0.099456,0.10844,0.14195,-0.10416,0.3583,0.12453,0.13374,0.11317,0.22743,0.33477,0.43704,0.38934,0.46146,0.54834,0.53062,0.43799,0.50251,0.54485,0.54485,0.46486,0.5634,0.57497,0.12535,0.4,1,41.273,0.81611,1
0.081768,0.072404,0.099712,0.14217,-0.066771,0.29186,0.089743,0.10007,0.10091,0.1672,0.26456,0.36891,0.2871,0.33525,0.47522,0.47135,0.33449,0.39398,0.4788,0.49111,0.34994,0.39489,0.47689,0.12535,0.4,1,41.273,0.81611,2
0.086091,0.10299,0.10175,0.11602,-0.099743,0.35388,0.13303,0.13344,0.098613,0.20552,0.29952,0.36959,0.37833,0.44378,0.47472,0.46524,0.43361,0.46914,0.48214,0.48986,0.45974,0.51152,0.4851,0.12535,0.4,1,41.273,0.81611,3
0.05803,0.090054,0.11426,0.14704,-0.08376,0.29924,0.087396,0.099893,0.095322,0.16809,0.25806,0.37708,0.30065,0.36563,0.49804,0.47612,0.34298,0.422,0.4875,0.48346,0.36552,0.47505,0.53709,0.12535,0.4,1,41.273,0.81611,4
0.057713,0.093569,0.12632,0.15158,-0.071465,0.28976,0.083011,0.095647,0.091239,0.15302,0.24357,0.36038,0.28986,0.34237,0.47899,0.47406,0.34361,0.39702,0.47143,0.48066,0.3543,0.42391,0.50608,0.12535,0.4,1,41.273,0.81611,5
0.081732,0.10367,0.14889,0.18036,-0.088053,0.34771,0.094651,0.11169,0.10349,0.1591,0.27069,0.41242,0.34049,0.38959,0.57527,0.6064,0.43694,0.46407,0.58195,0.6121,0.42891,0.43834,0.57583,0.12535,0.4,0,42.313,0.8206,6
0.07614,0.058451,0.08682,0.13864,-0.10454,0.32831,0.088396,0.10097,0.097123,0.15356,0.26053,0.39037,0.31673,0.37127,0.54104,0.55193,0.39206,0.44127,0.55085,0.57519,0.40265,0.42042,0.53054,0.12535,0.4,0,42.313,0.8206,7
0.087337,0.095977,0.09114,0.11465,-0.14349,0.3856,0.13301,0.13536,0.095131,0.2073,0.31257,0.40889,0.41245,0.49634,0.54479,0.53198,0.47935,0.53222,0.54963,0.55548,0.51333,0.59093,0.56277,0.12535,0.4,0,42.313,0.8206,8
0.053262,0.062757,0.087979,0.13439,-0.11167,0.32134,0.083493,0.097157,0.091235,0.15236,0.25336,0.38794,0.31742,0.3836,0.53802,0.53166,0.38196,0.44489,0.53443,0.54665,0.401,0.46629,0.55186,0.12535,0.4,0,42.313,0.8206,9
0.064308,0.10744,0.1088,0.11961,-0.11833,0.34723,0.11803,0.11887,0.083378,0.17398,0.26331,0.36052,0.35866,0.43827,0.48955,0.47873,0.42457,0.47231,0.48827,0.49189,0.45138,0.54778,0.52814,0.12535,0.4,0,42.313,0.8206,10
0.065019,0.1109,0.12719,0.15557,-0.14654,0.3976,0.121,0.13425,0.10377,0.21203,0.32833,0.46613,0.42375,0.51208,0.6297,0.61732,0.50162,0.56746,0.62029,0.62154,0.52196,0.6454,0.67898,0.12535,0.4,1,44.247,0.82647,11
0.073453,0.089276,0.1299,0.16288,-0.084146,0.33654,0.090735,0.10512,0.098248,0.14492,0.24927,0.38483,0.31861,0.36606,0.54062,0.57235,0.41208,0.43495,0.55084,0.58667,0.40867,0.40607,0.53645,0.12535,0.4,1,44.247,0.82647,12
0.078143,0.12718,0.12663,0.13328,-0.13142,0.39821,0.13921,0.14167,0.095205,0.20635,0.31052,0.40369,0.42273,0.50605,0.54942,0.54457,0.50763,0.54052,0.55308,0.55923,0.52565,0.6049,0.58193,0.12535,0.4,1,44.247,0.82647,13
0.060105,0.068641,0.097225,0.14356,-0.10726,0.32665,0.08601,0.10009,0.096259,0.15991,0.26638,0.40181,0.3253,0.38519,0.5489,0.54717,0.39308,0.44821,0.54759,0.56462,0.41194,0.45904,0.56229,0.12535,0.4,1,44.247,0.82647,14
0.058423,0.10556,0.11733,0.13951,-0.11812,0.34062,0.10506,0.11261,0.089774,0.17931,0.27349,0.39565,0.35413,0.43484,0.53315,0.51354,0.40989,0.48323,0.52097,0.51714,0.43432,0.56421,0.58174,0.12535,0.4,1,44.247,0.82647,15
0.06336,0.1101,0.12698,0.14939,-0.126,0.36637,0.11164,0.12235,0.096033,0.1912,0.29726,0.4217,0.38324,0.46012,0.57042,0.56434,0.45677,0.51316,0.56554,0.57073,0.47414,0.57239,0.60963,0.12535,0.6,0,38.207,0.8241,16
0.070717,0.086684,0.12446,0.15954,-0.086094,0.3284,0.08902,0.10356,0.097112,0.15247,0.25845,0.39046,0.31847,0.36542,0.53483,0.55888,0.40125,0.43329,0.54337,0.57363,0.40302,0.41143,0.53191,0.12535,0.6,0,38.207,0.8241,17
0.072877,0.1198,0.11781,0.13145,-0.1458,0.40376,0.13807,0.14238,0.096376,0.21879,0.32805,0.43404,0.43645,0.52392,0.57695,0.56687,0.51326,0.56088,0.57694,0.58052,0.54137,0.64212,0.6142,0.12535,0.6,0,38.207,0.8241,18
0.072116,0.1328,0.16839,0.18354,-0.12591,0.34664,0.090659,0.10681,0.089779,0.17745,0.2827,0.42411,0.36212,0.43343,0.59556,0.58783,0.4355,0.51252,0.58627,0.58473,0.44449,0.55571,0.64093,0.12535,0.6,0,38.207,0.8241,19
0.079341,0.10359,0.15031,0.17716,-0.089268,0.34088,0.088172,0.10425,0.094737,0.14751,0.25758,0.39775,0.3315,0.37374,0.56191,0.59826,0.43082,0.44989,0.57167,0.606,0.419,0.40903,0.55178,0.12535,0.6,0,38.207,0.8241,20
0.061722,0.10546,0.1197,0.14029,-0.1122,0.35013,0.11012,0.11758,0.092297,0.17925,0.27651,0.391,0.35842,0.43428,0.5291,0.51903,0.42505,0.48239,0.52585,0.52923,0.446,0.54511,0.57059,0.12535,0.4,1,40.62,0.82692,21
0.065725,0.083128,0.11684,0.153,-0.09711,0.32445,0.087244,0.10088,0.09433,0.15291,0.25396,0.38637,0.31789,0.37631,0.5375,0.54138,0.38994,0.44228,0.53726,0.55335,0.4003,0.44901,0.55089,0.12535,0.4,1,40.62,0.82692,22
0.069597,0.11372,0.11282,0.12425,-0.13764,0.38894,0.13181,0.13431,0.09014,0.19459,0.29647,0.39492,0.40738,0.49356,0.54208,0.53387,0.48805,0.52996,0.54478,0.54952,0.51203,0.60049,0.57631,0.12535,0.4,1,40.62,0.82692,23
